City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,bahia honda,22.9036,-83.1592,74.62400000000001,87,100,3.55,CU,1730031913
163,amurrio,43.05,-3.0,56.94800000000002,88,99,0.68,ES,1730031914
164,glace bay,46.1969,-59.957,43.97000000000006,81,40,5.36,CA,1730031915
165,encruzilhada do sul,-30.5439,-52.5219,62.06000000000008,50,0,1.56,BR,1730031916
166,lagoa,39.05,-27.9833,64.56200000000005,66,100,3.17,PT,1730031917
167,colonia,50.9333,6.95,61.97000000000006,86,100,1.54,DE,1730031918
168,nizhnesortymskiy,62.4397,71.7603,34.628000000000064,81,100,1.61,RU,1730031919
169,isola di capo rizzuto,38.96,17.0933,72.33800000000005,60,20,3.6,IT,1730031920
170,gardez,33.5974,69.2259,63.68000000000004,25,94,2.95,AF,1730031921
171,utrik,11.2278,169.8474,82.90400000000005,81,99,3.9,MH,1730031922
172,kone,-21.0595,164.8658,72.80600000000003,80,78,1.23,NC,1730031923
173,nabire,-3.3667,135.4833,78.53000000000004,88,100,0.29,ID,1730031925
174,revda,56.801,59.9303,35.708000000000006,78,100,1.17,RU,1730031926
175,kununurra,-15.7667,128.7333,87.78200000000001,58,53,4.63,AU,1730031927
176,port elizabeth,-33.918,25.5701,68.30600000000003,68,20,8.23,ZA,1730031928
177,tamandare,-8.7597,-35.1047,83.08399999999999,65,100,3.8,BR,1730031929
178,xianning,29.8833,114.2167,65.33600000000007,63,100,1.52,CN,1730031930
179,udachny,66.4167,112.4,6.368000000000087,97,98,2.37,RU,1730031931
180,mar del plata,-38.0023,-57.5575,64.5260000000001,58,0,7.72,AR,1730031932
181,sampit,-2.5333,112.95,80.29400000000007,75,66,2.17,ID,1730031933
182,muntok,-2.0667,105.1833,85.38800000000005,69,14,3.06,ID,1730031934
183,carnarvon,-24.8667,113.6333,73.65200000000007,61,0,12.37,AU,1730031935
184,kerikeri,-35.2268,173.9474,47.408,86,1,2.03,NZ,1730031937
185,parintins,-2.6283,-56.7358,88.07000000000006,44,100,3.18,BR,1730031938
186,nemuro,43.3236,145.575,55.20200000000008,90,100,8.95,JP,1730031939
187,chibougamau,49.9168,-74.3659,26.22200000000004,93,100,3.09,CA,1730031940
188,vilyuysk,63.7553,121.6247,-5.781999999999968,98,77,1.45,RU,1730031941
189,whitehorse,60.7161,-135.0538,25.57400000000001,92,100,3.6,CA,1730031942
190,tralee,52.2704,-9.7026,53.85200000000008,94,100,3.6,IE,1730031943
191,lake havasu city,34.4839,-114.3224,68.45,24,0,0.0,US,1730031944
192,princeville,45.7668,-61.2985,43.538000000000046,76,0,5.36,CA,1730031945
193,fort st. john,56.2499,-120.8529,28.291999999999994,93,75,2.57,CA,1730031946
194,saint croix,17.7397,-64.7388,84.95600000000003,74,0,2.57,VI,1730031948
195,hauterive,46.0901,3.4459,65.35400000000006,84,22,0.85,FR,1730031949
196,new norfolk,-42.7826,147.0587,53.708000000000006,74,87,4.11,AU,1730031950
197,mont-laurier,46.5501,-75.4993,30.938000000000045,74,39,3.89,CA,1730031951
198,pubal,37.2917,127.5078,58.44199999999999,76,100,2.38,KR,1730031952
199,el nido,11.1858,119.3956,82.32800000000006,77,100,5.52,PH,1730031953
200,ust'-uda,54.1742,103.0304,36.57200000000004,87,100,0.96,RU,1730031954
201,la ronge,55.1001,-105.2842,37.65200000000008,75,100,5.66,CA,1730031955
202,petropavlovsk-kamchatsky,53.0452,158.6483,30.794000000000075,55,75,5.0,RU,1730031957
203,okhotsk,59.3833,143.3,14.198000000000023,72,13,6.02,RU,1730031958
204,saint joseph,39.7686,-94.8466,43.25,66,28,3.28,US,1730031959
205,codrington,-38.2667,141.9667,54.62600000000009,76,100,5.84,AU,1730031960
206,greymouth,-42.4667,171.2,46.54400000000008,92,57,2.58,NZ,1730031961
207,xinyuan,37.3,99.0,27.23000000000004,38,48,2.35,CN,1730031962
208,grand falls-windsor,48.9332,-55.6649,44.51000000000008,91,98,0.45,CA,1730031963
209,konarka,19.9,86.1167,80.708,83,10,3.56,IN,1730031964
210,kodiak,57.79,-152.4072,38.714000000000034,65,0,2.67,US,1730031965
211,warka,51.7843,21.1909,60.188000000000045,52,100,2.57,PL,1730031966
212,puerto rosario,-24.45,-57.0833,72.30200000000008,40,98,2.53,PY,1730031967
213,amfissa,38.525,22.3731,75.07400000000001,22,40,1.77,GR,1730031969
214,as sulayyil,20.4607,45.5779,90.734,22,15,4.99,SA,1730031971
215,humaita,-7.5061,-63.0208,76.19000000000003,93,100,2.07,BR,1730031972
